,Paper,Subject,Subj_notes,MonoMix,Dom.species,TropTemp,Month.corr,Time,Plot.time,Plot.time.err,Method,AGbiomass,AGbiomass.units,AGbiomass_notes,Resp_facet,time.unit,model,O2.mmol,Temp.C,Time2,AGbiomass2,Temp2,Response
29,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,111.0648849,g DW m-2,NA,GPP_day,day,N,72.0972,14.05,4,12335.40866,197.4025,GPP
30,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,173.7906793,g DW m-2,NA,GPP_day,day,N,102.0972,15.52,16,30203.20021,240.8704,GPP
31,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,344.7404888,g DW m-2,NA,GPP_day,day,N,211.3848,23.41,36,118846.0046,548.0281,GPP
32,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,237.878419,g DW m-2,NA,GPP_day,day,N,111.384,25.78,64,56586.14223,664.6084,GPP
33,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,89.2602009,g DW m-2,NA,GPP_day,day,N,90.558,21.29,100,7967.383465,453.2641,GPP
34,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,111.3256182,g DW m-2,NA,GPP_day,day,N,73.6356,16.14,144,12393.39327,260.4996,GPP
35,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jan,1,1,0,Incubator,338.9,g DW m-2,NA,GPP_day,day,N,31.02,NA,1,114853.21,NA,GPP
36,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,348,g DW m-2,NA,GPP_day,day,N,59.89,NA,4,121104,NA,GPP
37,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Mar,3,3,0,Incubator,405.1,g DW m-2,NA,GPP_day,day,N,59.81,NA,9,164106.01,NA,GPP
38,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,859,g DW m-2,NA,GPP_day,day,N,146.05,NA,16,737881,NA,GPP
39,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,519.9,g DW m-2,NA,GPP_day,day,N,173.31,NA,16,270296.01,NA,GPP
40,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,490,g DW m-2,NA,GPP_day,day,N,129.6,NA,25,240100,NA,GPP
41,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,798.5,g DW m-2,NA,GPP_day,day,N,48.43,NA,25,637602.25,NA,GPP
42,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,682.2,g DW m-2,NA,GPP_day,day,N,123.01,NA,36,465396.84,NA,GPP
43,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,872.4,g DW m-2,NA,GPP_day,day,N,120.1,NA,36,761081.76,NA,GPP
44,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jul,7,7,0,Incubator,553.9,g DW m-2,NA,GPP_day,day,N,137.24,NA,49,306805.21,NA,GPP
45,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,529.6,g DW m-2,NA,GPP_day,day,N,155.19,NA,64,280476.16,NA,GPP
46,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Sep,9,9,0,Incubator,233.4,g DW m-2,NA,GPP_day,day,N,24.66,NA,81,54475.56,NA,GPP
47,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,415,g DW m-2,NA,GPP_day,day,N,114.81,NA,100,172225,NA,GPP
48,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Nov,11,11,0,Incubator,399.2,g DW m-2,NA,GPP_day,day,N,77.66,NA,121,159360.64,NA,GPP
49,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,287.7,g DW m-2,NA,GPP_day,day,N,53.85,NA,144,82771.29,NA,GPP
50,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,29.38,NA,49,NA,NA,GPP
51,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,39.35,NA,49,NA,NA,GPP
52,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,49.26,NA,49,NA,NA,GPP
53,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,18.12,NA,49,NA,NA,GPP
54,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,18.62,NA,49,NA,NA,GPP
55,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,22.91,NA,49,NA,NA,GPP
56,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,6.97,NA,49,NA,NA,GPP
57,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jan,1,1,0,Incubator,339.396,g DW m-2,NA,GPP_day,day,N,33.593,13.933,1,115189.6448,194.128489,GPP
58,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,348.957,g DW m-2,NA,GPP_day,day,N,61.041,14.467,4,121770.9878,209.294089,GPP
59,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Mar,3,3,0,Incubator,NA,NA,NA,GPP_day,day,N,59.85,NA,9,NA,NA,GPP
60,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,860.21,g DW m-2,NA,GPP_day,day,N,146.257,NA,16,739961.2441,NA,GPP
61,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,521.143,g DW m-2,NA,GPP_day,day,N,172.173,15.147,16,271590.0264,229.431609,GPP
62,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,487.462,g DW m-2,NA,GPP_day,day,N,129.582,NA,25,237619.2014,NA,GPP
63,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,797.001,g DW m-2,NA,GPP_day,day,N,50.621,18.917,25,635210.594,357.852889,GPP
64,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,681.985,g DW m-2,NA,GPP_day,day,N,123.993,22.605,36,465103.5402,510.986025,GPP
65,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,870.692,g DW m-2,NA,GPP_day,day,N,118.803,22.415,36,758104.5589,502.432225,GPP
66,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jul,7,7,0,Incubator,553.397,g DW m-2,NA,GPP_day,day,N,136.934,25.151,49,306248.2396,632.572801,GPP
67,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,529.737,g DW m-2,NA,GPP_day,day,N,153.752,27.273,64,280621.2892,743.816529,GPP
68,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Sep,9,9,0,Incubator,233.993,g DW m-2,NA,GPP_day,day,N,26.147,25.745,81,54752.72405,662.805025,GPP
69,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,415.093,g DW m-2,NA,GPP_day,day,N,114.335,23.637,100,172302.1986,558.707769,GPP
70,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Nov,11,11,0,Incubator,396.952,g DW m-2,NA,GPP_day,day,N,77.212,18.669,121,157570.8903,348.531561,GPP
71,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,285.406,g DW m-2,NA,GPP_day,day,N,54.346,15.66,144,81456.58484,245.2356,GPP
72,Berg et al. 2018,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,34.73631279,g DW m-2,NA,GPP_day,day,N,86.535,16,16,1206.611426,256,GPP
73,Berg et al. 2018,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,44.66097359,g DW m-2,NA,GPP_day,day,N,105.735,27.6,36,1994.602562,761.76,GPP
74,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jan,1,1,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,12,NA,1,NA,NA,GPP
75,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Mar,3,3,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,57,NA,9,NA,NA,GPP
76,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,75.416,NA,16,NA,NA,GPP
77,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,40,NA,16,NA,NA,GPP
78,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,50,NA,16,NA,NA,GPP
79,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,85,NA,16,NA,NA,GPP
80,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,73,NA,16,NA,NA,GPP
81,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,152.607,NA,25,NA,NA,GPP
82,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,124,NA,25,NA,NA,GPP
83,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,195,NA,36,NA,NA,GPP
84,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,105,NA,36,NA,NA,GPP
85,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,87,NA,36,NA,NA,GPP
86,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,154,NA,36,NA,NA,GPP
87,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,139,NA,36,NA,NA,GPP
88,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jul,7,7,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,188,NA,49,NA,NA,GPP
89,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jul,7,7,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,161,NA,49,NA,NA,GPP
90,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,218,NA,64,NA,NA,GPP
91,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,63,NA,64,NA,NA,GPP
92,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,93,NA,64,NA,NA,GPP
93,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,117,NA,64,NA,NA,GPP
94,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,68.4,NA,100,NA,NA,GPP
95,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,69,NA,100,NA,NA,GPP
96,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,61,NA,100,NA,NA,GPP
97,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Nov,11,11,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,75,NA,121,NA,NA,GPP
98,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Feb,2,2,0,Incubator,NA,NA,NA,GPP_day,day,N,187.55,22.3,4,NA,497.29,GPP
99,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Feb,2,2,0,Incubator,NA,NA,NA,GPP_day,day,N,103.47,22.8,4,NA,519.84,GPP
100,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,183.09,29.6,16,NA,876.16,GPP
101,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,175.9,30,16,NA,900,GPP
102,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Jun,6,6,0,Incubator,NA,NA,NA,GPP_day,day,N,340,32.5,36,NA,1056.25,GPP
103,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,417.97,33.4,49,NA,1115.56,GPP
104,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Jul,7,7,0,Incubator,NA,NA,NA,GPP_day,day,N,267.33,33.5,49,NA,1122.25,GPP
105,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,263.91,32,64,NA,1024,GPP
106,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,270.67,33.8,64,NA,1142.44,GPP
107,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Sep,9,9,0,Incubator,NA,NA,NA,GPP_day,day,N,305.62,33.5,81,NA,1122.25,GPP
108,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,263.26,32.2,100,NA,1036.84,GPP
109,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_day,day,N,211.04,28.5,121,NA,812.25,GPP
110,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_day,day,N,236.69,30.7,121,NA,942.49,GPP
111,Calleja et al. 2006,A,NA,mono,Thalassia testudinum,tropical,Dec,12,12,0,Incubator,NA,NA,NA,GPP_day,day,N,156.72,24,144,NA,576,GPP
112,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,482.1,g DW m-2,NA,GPP_day,day,N,45,14.14329,4,232420.41,200.032652,GPP
113,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,248.1,g DW m-2,NA,GPP_day,day,N,76.27,13.25963,4,61553.61,175.8177877,GPP
114,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,314,g DW m-2,NA,GPP_day,day,N,99.36,12.90182,4,98596,166.4569593,GPP
115,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,736.3,g DW m-2,NA,GPP_day,day,N,139.42,14.31058,16,542137.69,204.7926999,GPP
116,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,529.9,g DW m-2,NA,GPP_day,day,N,254.22,15.93007,16,280794.01,253.7671302,GPP
117,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,750.6,g DW m-2,NA,GPP_day,day,N,157.88,18.21524,25,563400.36,331.7949683,GPP
118,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,435,g DW m-2,NA,GPP_day,day,N,389.88,20.24781,36,189225,409.9738098,GPP
119,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,862.4,g DW m-2,NA,GPP_day,day,N,392.28,25.5752,64,743733.76,654.090855,GPP
120,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,528.3,g DW m-2,NA,GPP_day,day,N,75.64,22.27244,64,279100.89,496.0615836,GPP
121,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,629.5,g DW m-2,NA,GPP_day,day,N,272.66,25.57224,64,396270.25,653.9394586,GPP
122,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,431.2,g DW m-2,NA,GPP_day,day,N,229.45,24.35753,64,185933.44,593.2892677,GPP
123,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,255.6,g DW m-2,NA,GPP_day,day,N,56.44,22.33733,100,65331.36,498.9563115,GPP
124,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,201.1,g DW m-2,NA,GPP_day,day,N,22.67,19.32532,100,40441.21,373.4679931,GPP
125,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,301.5,g DW m-2,NA,GPP_day,day,N,28.32,18.03682,144,90902.25,325.3268757,GPP
126,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,235.5,g DW m-2,NA,GPP_day,day,N,46.32,16.36981,144,55460.25,267.9706794,GPP
127,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Feb,2,2,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.521,NA,4,NA,NA,GPP
128,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Feb,2,2,0,Incubator,NA,NA,NA,GPP_hour,hour,N,0.813,NA,4,NA,NA,GPP
129,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Feb,2,2,0,Incubator,NA,NA,NA,GPP_hour,hour,N,5.789,NA,4,NA,NA,GPP
130,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,6.94,NA,25,NA,NA,GPP
131,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,11.398,NA,64,NA,NA,GPP
132,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.377,NA,64,NA,NA,GPP
133,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,10.62,NA,64,NA,NA,GPP
134,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.347,NA,121,NA,NA,GPP
135,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.607,NA,121,NA,NA,GPP
136,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.435,NA,121,NA,NA,GPP
137,Drylie et al. 2018,A,NA,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,290,g DW m-2,NA,GPP_hour,hour,N,7.594,NA,64,84100,NA,GPP
138,Drylie et al. 2018,B,NA,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,308,g DW m-2,NA,GPP_hour,hour,N,1.265,NA,64,94864,NA,GPP
139,Drylie et al. 2018,C,NA,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,161,g DW m-2,NA,GPP_hour,hour,N,0.346,NA,64,25921,NA,GPP
140,Duarte et al. 2002,A,NA,mono,Zostera marina,temperate,Sep,9,9,0,Incubator,142.3,g DW m-2,NA,GPP_day,day,N,55.086441,NA,81,20249.29,NA,GPP
141,Duarte et al. 2002,B,NA,mono,Zostera marina,temperate,Sep,9,9,0,Incubator,149.7,g DW m-2,NA,GPP_day,day,N,78.92171,NA,81,22410.09,NA,GPP
142,Egea et al. 2019,A,NA,mono,Cymodocea nodosa,temperate,Mar,3,3,0,Incubator,NA,NA,NA,GPP_day,day,N,63.48,16.5,9,NA,272.25,GPP
143,Egea et al. 2019,A,NA,mono,Cymodocea nodosa,temperate,Sep,9,9,0,Incubator,NA,NA,NA,GPP_day,day,N,123.618,24.6,81,NA,605.16,GPP
144,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Feb,2,2,0,Incubator,NA,NA,NA,GPP_hour,hour,N,4.029,15.31,4,NA,234.3961,GPP
145,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_hour,hour,N,13.207,19.39,16,NA,375.9721,GPP
146,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Jun,6,6,0,Incubator,NA,NA,NA,GPP_hour,hour,N,12.759,25.61,36,NA,655.8721,GPP
147,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,15.696,26.82,64,NA,719.3124,GPP
